w	Stern_exp	Stern_pred
98	0.0	3.7976952656700957e-75
99	0.0	2.1442003999062923e-74
100	0.0	1.1962529181903432e-73
101	0.0	6.590076901220191e-73
102	0.0	3.585384275253145e-72
103	0.0	1.927671310341985e-71
104	0.0	1.0231702498438092e-70
105	0.0	5.368234181535885e-70
106	0.0	2.782539404206264e-69
107	0.0	1.4257175118065446e-68
108	0.0	7.217167641127212e-68
109	0.0	3.612098903186403e-67
110	0.0	1.7870680054300968e-66
111	0.0	8.737089367224721e-66
112	0.0	4.223723279553117e-65
113	0.0	2.0190634585347122e-64
114	0.0	9.542746304369842e-64
115	0.0	4.461342864854207e-63
116	0.0	2.0626504830573973e-62
117	0.0	9.428857627391211e-62
118	0.0	4.264498237977564e-61
119	0.0	1.90798684765432e-60
120	0.0	8.443228459958875e-60
121	0.0	3.696460886133536e-59
122	0.0	1.6014716429464043e-58
123	0.0	6.86706541189661e-58
124	0.0	2.91330047777432e-57
125	0.0	1.2228269428186902e-56
126	0.0	5.081403439515634e-56
127	0.0	2.089365110990656e-55
128	0.0	8.505093914120108e-55
129	0.0	3.42790857375183e-54
130	0.0	1.3670859336582873e-53
131	0.0	5.3991669086165e-53
132	0.0	2.1104556067274394e-52
133	0.0	8.171864081478932e-52
134	0.0	3.1326416334368647e-51
135	0.0	1.188941546334925e-50
136	0.0	4.468373030099802e-50
137	0.0	1.6633370971076355e-49
138	0.0	6.1331161602565565e-49
139	0.0	2.239810647246376e-48
140	0.0	8.101562429022988e-48
141	0.0	2.9034582464304877e-47
142	0.0	1.0302004150894036e-46
143	0.0	3.6219411345302355e-46
144	0.0	1.2617740582792832e-45
145	0.0	4.354484353121172e-45
146	0.0	1.4889889990168942e-44
147	0.0	5.044846580238542e-44
148	0.0	1.6942698241882507e-43
149	0.0	5.633974427819354e-43
150	0.0	1.8573696578860408e-42
151	0.0	6.068438639997087e-42
152	0.0	1.965634202668195e-41
153	0.0	6.306058225298178e-41
154	0.0	2.0064091610926423e-40
155	0.0	6.324336654936723e-40
156	0.0	1.976882467061146e-39
157	0.0	6.121867895863605e-39
158	0.0	1.879866186671943e-38
159	0.0	5.722554509913844e-38
160	0.0	1.726608584317985e-37
161	0.0	5.168577488561004e-37
162	0.0	1.5325760235395794e-36
163	0.0	4.509147988524249e-36
164	0.0	1.3150627108408887e-35
165	0.0	3.8033193978665716e-35
166	0.0	1.0903786295916916e-34
167	0.0	3.100302873307131e-34
168	0.0	8.742713499421197e-34
169	0.0	2.445091472417733e-33
170	0.0	6.779891362851241e-33
171	0.0	1.8643998231316356e-32
172	0.0	5.08562153866299e-32
