w	SternBabai_exp	SternBabai_pred
94	0.0	7.058903984455365e-78
95	0.0	4.236802350132259e-77
96	0.0	2.509670310088681e-76
97	0.0	1.4687192157936082e-75
98	0.0	8.477984578641634e-75
99	0.0	4.833925768879361e-74
100	0.0	2.7213644316493896e-73
101	0.0	1.513977959023829e-72
102	0.0	8.314469119229225e-72
103	0.0	4.51127472843166e-71
104	0.0	2.4176928641692004e-70
105	0.0	1.2808224334152413e-69
106	0.0	6.704133835908798e-69
107	0.0	3.467403715218509e-68
108	0.0	1.772390783273798e-67
109	0.0	8.953931362288469e-67
110	0.0	4.471855823037597e-66
111	0.0	2.2074587020675307e-65
112	0.0	1.0778880686087687e-64
113	0.0	5.203295512016323e-64
114	0.0	2.483391039825972e-63
115	0.0	1.1720554537168082e-62
116	0.0	5.470468093020529e-62
117	0.0	2.5257298641381136e-61
118	0.0	1.1535139685870079e-60
119	0.0	5.212055268770559e-60
120	0.0	2.3286353371677987e-59
121	0.0	1.0300013983522771e-58
122	0.0	4.506894850054542e-58
123	0.0	1.9505058372766013e-57
124	0.0	8.358267903000407e-57
125	0.0	3.5433216070885562e-56
126	0.0	1.4876986887611203e-55
127	0.0	6.175628511736545e-55
128	0.0	2.5388694992694682e-54
129	0.0	1.0333593051080677e-53
130	0.0	4.16380437718029e-53
131	0.0	1.659973904927766e-52
132	0.0	6.5581378900048595e-52
133	0.0	2.5636888100731375e-51
134	0.0	9.92772432146773e-51
135	0.0	3.8061143097156435e-50
136	0.0	1.4452138685030746e-49
137	0.0	5.4339691065445436e-49
138	0.0	2.0235038102285698e-48
139	0.0	7.46477271406831e-48
140	0.0	2.7272042694855477e-47
141	0.0	9.872245862024235e-47
142	0.0	3.538941728711438e-46
143	0.0	1.2571710901788034e-45
144	0.0	4.423677160889298e-45
145	0.0	1.541717188745577e-44
146	0.0	5.328852025493709e-44
147	0.0	1.823489364340176e-43
148	0.0	6.185848227949821e-43
149	0.0	2.078982269672066e-42
150	0.0	6.924587714223743e-42
151	0.0	2.2848365533966175e-41
152	0.0	7.476452389740625e-41
153	0.0	2.4235327020053575e-40
154	0.0	7.790343673434091e-40
155	0.0	2.481931080366933e-39
156	0.0	7.834142457205271e-39
157	0.0	2.4512719317271063e-38
158	0.0	7.60784874105417e-38
159	0.0	2.340315012840114e-37
160	0.0	7.134821876325412e-37
161	0.0	2.156360121001153e-36
162	0.0	6.46470048462634e-36
163	0.0	1.9213066480958139e-35
164	0.0	5.661722782154686e-35
165	0.0	1.6541340670916088e-34
166	0.0	4.793046904026259e-34
167	0.0	1.3770337617659359e-33
168	0.0	3.9229110664387934e-33
169	0.0	1.1085472172485955e-32
170	0.0	3.1067937288357843e-32
171	0.0	8.632740281299808e-32
172	0.0	2.3797339182341766e-31
173	0.0	6.504119390020403e-31
174	0.0	1.7636310265195617e-30
175	0.0	4.74340828241892e-30
176	0.0	1.2652008672035198e-29
177	0.0	3.34768703957728e-29
178	0.0	8.78749598395798e-29
179	0.0	2.2877564723146963e-28
180	0.0	5.911375849650418e-28
181	0.0	1.5154379184828685e-27
182	0.0	3.851373052945864e-27
183	0.0	9.713110280988945e-27
184	0.0	2.4308324993005546e-26
185	0.0	6.034012444209725e-26
186	0.0	1.486238729302081e-25
187	0.0	3.6323791340899585e-25
188	0.0	8.81085533530261e-25
189	0.0	2.1198611345251684e-24
190	0.0	5.061679444489504e-24
191	0.0	1.1995026915467482e-23
192	0.0	2.820641674864067e-23
193	0.0	6.58003728189045e-23
194	0.0	1.5227377157780652e-22
195	0.0	3.5009827827764147e-22
196	0.0	7.981598362568248e-22
197	0.0	1.8059698508317033e-21
198	0.0	4.057227336670416e-21
199	0.0	9.042988889289871e-21
200	0.0	2.0001444588839398e-20
201	0.0	4.3930180122494715e-20
202	0.0	9.571494213462124e-20
203	0.0	2.07022251291783e-19
204	0.0	4.445576552774888e-19
205	0.0	9.472216970247447e-19
206	0.0	2.003064377802019e-18
207	0.0	4.206143201492431e-18
208	0.0	8.76705655153143e-18
209	0.0	1.8132696481269002e-17
210	0.0	3.7243565800094384e-17
211	0.0	7.593249146463775e-17
212	0.0	1.537337310368459e-16
213	0.0	3.086354296409233e-16
214	0.0	6.156649038769032e-16
215	0.0	1.218774156406068e-15
216	0.0	2.39579347228361e-15
217	0.0	4.6747901878440695e-15
218	0.0	9.054668564962186e-15
219	0.0	1.741731634633971e-14
220	0.0	3.3243276882326504e-14
221	0.0	6.30264498467297e-14
222	0.0	1.18621706046949e-13
223	0.0	2.216218458821767e-13
224	0.0	4.111245836654872e-13
225	0.0	7.574269673496263e-13
226	0.0	1.3850635387906526e-12
227	0.0	2.5155101479248382e-12
228	0.0	4.5346340797762895e-12
229	0.0	8.11591463279987e-12
230	0.0	1.4424399455308997e-11
231	0.0	2.5461692965646653e-11
232	0.0	4.460176147365282e-11
233	0.0	7.759684524794264e-11
234	0.0	1.3405347752899516e-10
235	0.0	2.2994361479870113e-10
236	0.0	3.9170712286026356e-10
237	0.0	6.623836065661633e-10
238	0.0	1.1123431118420976e-09
239	0.0	1.8541485129800028e-09
240	0.0	3.0702947423597996e-09
241	0.0	5.048539809358149e-09
242	0.0	8.242931105736297e-09
243	0.0	1.3361548969128335e-08
244	0.0	2.150520283164995e-08
245	0.0	3.4382045260377214e-08
246	0.0	5.455868498430134e-08
247	3.0043987401955204e-07	8.599161213741901e-08
248	1.5021993700977602e-07	1.3456446333965894e-07
249	3.0043987401955204e-07	2.090661945344381e-07
250	0.0	3.226510404477013e-07
251	9.013196220586561e-07	4.943422728307315e-07
