w	LBB_exp	LBB_pred
118	0.0	3.3521328508800914e-63
119	0.0	1.5364142193403882e-62
120	0.0	6.968213170333418e-62
121	0.0	3.126577741372053e-61
122	0.0	1.3890835414276912e-60
123	0.0	6.10678461380804e-60
124	0.0	2.658670865264954e-59
125	0.0	1.1448121568753697e-58
126	0.0	4.880628646163282e-58
127	0.0	2.0607098728244972e-57
128	0.0	8.614285565253777e-57
129	0.0	3.5632908257386795e-56
130	0.0	1.4605893101866225e-55
131	0.0	5.926820430689924e-55
132	0.0	2.381526023263057e-54
133	0.0	9.478113644220732e-54
134	0.0	3.7360564415320696e-53
135	0.0	1.4581897877450476e-52
136	0.0	5.638877737700941e-52
137	0.0	2.1595701974173815e-51
138	0.0	8.194369137978175e-51
139	0.0	3.0809868149821313e-50
140	0.0	1.1469717270727872e-49
141	0.0	4.2327575869380676e-49
142	0.0	1.5469721180833176e-48
143	0.0	5.602884901077318e-48
144	0.0	2.0112797105280547e-47
145	0.0	7.152976398334682e-47
146	0.0	2.5218980860951867e-46
147	0.0	8.806247360579766e-46
148	0.0	3.049793023241657e-45
149	0.0	1.0461917845266426e-44
150	0.0	3.55849178085553e-44
151	0.0	1.1992813162991194e-43
152	0.0	4.00720247743003e-43
153	0.0	1.3271758624350599e-42
154	0.0	4.357532753899961e-42
155	0.0	1.4185976674590623e-41
156	0.0	4.5782888185248486e-41
157	0.0	1.4646684983372995e-40
158	0.0	4.6454754468889455e-40
159	0.0	1.4615491191632523e-39
160	0.0	4.55909263899225e-39
161	0.0	1.4094794821810777e-38
162	0.0	4.3215399172763387e-38
163	0.0	1.314458393494713e-37
164	0.0	3.964011073481682e-37
165	0.0	1.185364086137985e-36
166	0.0	3.515300376907182e-36
167	0.0	1.0341941723187682e-35
168	0.0	3.018599231501184e-35
169	0.0	8.731862164890945e-35
170	0.0	2.5051014290041625e-34
171	0.0	7.133780218802085e-34
172	0.0	2.014878994190417e-33
173	0.0	5.643676782584091e-33
174	0.0	1.5685678200574914e-32
175	0.0	4.323939439717913e-32
176	0.0	1.1824846592080952e-31
177	0.0	3.2081615043855987e-31
178	0.0	8.63588126722795e-31
179	0.0	2.306181018597606e-30
180	0.0	6.1115836586911896e-30
181	0.0	1.6064802746343744e-29
182	0.0	4.18956618298972e-29
183	0.0	1.0845841435918405e-28
184	0.0	2.7858455546684223e-28
185	0.0	7.097787382178461e-28
186	0.0	1.7946028340538444e-27
187	0.0	4.503903622836028e-27
188	0.0	1.121296836947936e-26
189	0.0	2.771448420018973e-26
190	0.0	6.795447554540027e-26
191	0.0	1.653990818977557e-25
192	0.0	3.995204865222156e-25
193	0.0	9.576494064325299e-25
194	0.0	2.2783465582753373e-24
195	0.0	5.3797293140108555e-24
196	0.0	1.2609490430475932e-23
197	0.0	2.932216423604489e-23
198	0.0	6.771452330124279e-23
199	0.0	1.5522510674547823e-22
200	0.0	3.532097033998206e-22
201	0.0	7.9736130733532875e-22
202	0.0	1.787164314484962e-21
203	0.0	3.976008685689557e-21
204	0.0	8.784651658605592e-21
205	0.0	1.9258567116079893e-20
206	0.0	4.1919657054312946e-20
207	0.0	9.058197216945129e-20
208	0.0	1.9431332731873284e-19
209	0.0	4.1391762117166475e-19
210	0.0	8.74865882198197e-19
211	0.0	1.836594476781404e-18
212	0.0	3.827238294311915e-18
213	0.0	7.918424057197066e-18
214	0.0	1.6266362631436034e-17
215	0.0	3.318539536698043e-17
216	0.0	6.718662836409631e-17
217	0.0	1.350451230118336e-16
218	0.0	2.6970632243301523e-16
219	0.0	5.343736477387232e-16
220	0.0	1.0517106861422648e-15
221	0.0	2.055190971208875e-15
222	0.0	3.9880062978974314e-15
223	0.0	7.683270857922729e-15
224	0.0	1.4697074954646067e-14
225	0.0	2.7930441219931467e-14
226	0.0	5.2669517592568365e-14
227	0.0	9.866836279755858e-14
228	0.0	1.8351547633164595e-13
229	0.0	3.390525209945289e-13
230	0.0	6.217162646120484e-13
231	0.0	1.1323346401791804e-12
232	0.0	2.0479924038841504e-12
233	0.0	3.6784679029342736e-12
234	0.0	6.562693877707265e-12
235	0.0	1.1623286706988663e-11
236	0.0	2.044393120221788e-11
237	0.0	3.570489393063404e-11
238	0.0	6.19556694414631e-11
239	0.0	1.0673075820125014e-10
240	0.0	1.8260365780384748e-10
241	0.0	3.102582516956305e-10
242	0.0	5.235757967516363e-10
243	0.0	8.77265404639772e-10
244	0.0	1.45986945345415e-09
245	0.0	2.4139195762243176e-09
246	0.0	3.961611551040107e-09
247	0.0	6.454715367836396e-09
248	0.0	1.0449920233058551e-08
249	0.0	1.680145613590723e-08
250	2.3994253856086546e-08	2.6826660896807032e-08
