w	WagnerBabai_exp	WagnerBabai_pred
87	0.0	8.445618006677645e-84
88	0.0	5.82020117314115e-83
89	0.0	3.951759529664616e-82
90	0.0	2.6450501958147094e-81
91	0.0	1.744097015714524e-80
92	0.0	1.1343720427411536e-79
93	0.0	7.271979239380068e-79
94	0.0	4.597479000148041e-78
95	0.0	2.866470892618992e-77
96	0.0	1.7626396356439465e-76
97	0.0	1.0692547245184164e-75
98	0.0	6.400476102697202e-75
99	0.0	3.779422238555863e-74
100	0.0	2.203299544554933e-73
101	0.0	1.2674426092934814e-72
102	0.0	7.195627274964798e-72
103	0.0	4.0335652058238326e-71
104	0.0	2.2327495879722512e-70
105	0.0	1.22054068829553e-69
106	0.0	6.58481155964264e-69
107	0.0	3.510008878404839e-68
108	0.0	1.847717538849533e-67
109	0.0	9.611621577533699e-67
110	0.0	4.938881355319177e-66
111	0.0	2.5076166598672235e-65
112	0.0	1.2576259281543752e-64
113	0.0	6.234683265681187e-64
114	0.0	3.0551693189595877e-63
115	0.0	1.4790466249586579e-62
116	0.0	7.0821900706906825e-62
117	0.0	3.3518512378303514e-61
118	0.0	1.568487497559403e-60
119	0.0	7.253436619450646e-60
120	0.0	3.318038225017875e-59
121	0.0	1.5008614719344493e-58
122	0.0	6.714609899148597e-58
123	0.0	2.971182158102791e-57
124	0.0	1.3001648797571684e-56
125	0.0	5.6293212621029745e-56
126	0.0	2.4105405908249513e-55
127	0.0	1.0214802096414331e-54
128	0.0	4.2822544613478556e-54
129	0.0	1.7768192861782112e-53
130	0.0	7.291612601658281e-53
131	0.0	2.962456219312474e-52
132	0.0	1.1910906448782113e-51
133	0.0	4.738184763141896e-51
134	0.0	1.8662601587789554e-50
135	0.0	7.276342208775227e-50
136	0.0	2.807570805784355e-49
137	0.0	1.0727451000345428e-48
138	0.0	4.0575615374972035e-48
139	0.0	1.5194040918638724e-47
140	0.0	5.635865716195712e-47
141	0.0	2.069138235653816e-46
142	0.0	7.52394072195046e-46
143	0.0	2.7094039943932942e-45
144	0.0	9.661795725578018e-45
145	0.0	3.412932809362567e-44
146	0.0	1.1943628719245802e-43
147	0.0	4.1371857289588425e-43
148	0.0	1.4201465381240214e-42
149	0.0	4.828716378091431e-42
150	0.0	1.6262968420452502e-41
151	0.0	5.428624669925694e-41
152	0.0	1.794271163758844e-40
153	0.0	5.880192002324576e-40
154	0.0	1.908799110381749e-39
155	0.0	6.138697938987705e-39
156	0.0	1.95679177372849e-38
157	0.0	6.180146148241708e-38
158	0.0	1.9338861844039094e-37
159	0.0	6.001264403040219e-37
160	0.0	1.8444453118031643e-36
161	0.0	5.621686065661448e-36
162	0.0	1.6982858370653619e-35
163	0.0	5.08395008770819e-35
164	0.0	1.5084966683759766e-34
165	0.0	4.438230617224764e-34
166	0.0	1.2947111680132205e-33
167	0.0	3.7423369986970174e-33
168	0.0	1.0726360257996639e-32
169	0.0	3.0486248648668506e-32
170	0.0	8.588505254369081e-32
171	0.0	2.3996331673370563e-31
172	0.0	6.645893131174856e-31
173	0.0	1.8248119495249518e-30
174	0.0	4.971603625782864e-30
175	0.0	1.3427038313599617e-29
176	0.0	3.596177523959215e-29
177	0.0	9.550540006001483e-29
178	0.0	2.5152518563087503e-28
179	0.0	6.571722651457165e-28
180	0.0	1.7026488064605203e-27
181	0.0	4.3749675609949685e-27
182	0.0	1.1147386804629414e-26
183	0.0	2.819568971621041e-26
184	0.0	7.069101162505209e-26
185	0.0	1.758276666248788e-25
