w	LB_exp	LB_pred
269	3.250130972267296e-06	3.38302987972682e-06
270	5.310073137788822e-06	4.738072970929984e-06
271	6.75203265365389e-06	6.594390448912698e-06
272	9.201075005996149e-06	9.11907377593481e-06
273	1.2199435269144148e-05	1.252957074534818e-05
274	1.6868637510992938e-05	1.710741902643995e-05
275	2.2956911022423226e-05	2.3209690785135285e-05
276	3.14713386399122e-05	3.128959300126226e-05
277	4.170238472866911e-05	4.1887311771989716e-05
278	5.3535608057276095e-05	5.575819206369778e-05
279	7.273884668919343e-05	7.3726246566983e-05
280	9.562709297276594e-05	9.689015886930736e-05
281	0.00012737309056808102	0.00012650883724797112
282	0.00016552779712279638	0.0001641387501185455
283	0.00021368466730343292	0.00021161103679346718
284	0.00027053907107182706	0.0002710086182406329
285	0.00034263704686508047	0.0003451697603943196
286	0.0004353344443135491	0.0004364978336021005
287	0.0005502334406570831	0.0005486551164888488
288	0.0006852740937301609	0.0006853038876794383
289	0.0008509849968232259	0.0008507931030409059
290	0.0010510282693416495	0.001049242826026234
291	0.0012858616762111035	0.0012861464745727333
292	0.0015692181652017312	0.0015663107893755497
293	0.0018937734975027893	0.001895686973200103
294	0.0022741761507357643	0.002279997336397757
295	0.0027237013077451287	0.0027261086513901502
296	0.0032524197968956535	0.0032365387347318827
297	0.003833781252498395	0.003820214390571084
298	0.004472363323810068	0.004479424543048299
299	0.00521165367876946	0.005221035964585166
300	0.006042497018863142	0.006047337579322231
301	0.006964893344091114	0.0069606183114000394
302	0.007958243232798161	0.007960878160818592
303	0.00906603435292307	0.009048117127577887
304	0.010210446667101697	0.010220046287537381
305	0.011469300212698184	0.01147208779241598
306	0.012831150866570749	0.01279737486979205
307	0.01418613504655824	0.014186751823103402
308	0.015632672211680024	0.01562877403164731
309	0.01711811939548388	0.017107419026439953
310	0.018571523034490733	0.018613531110919145
311	0.02013936790491545	0.020121932119538884
312	0.021631681562604376	0.021618888507455893
313	0.023117128746408235	0.023072355336702533
314	0.02446753527713901	0.024491488303840982
315	0.02581794180786979	0.025819064305357596
316	0.027008130614615558	0.027055083341252374
317	0.02819831942136133	0.028176656170119857
318	0.029159625765271376	0.029160893550554588
319	0.029983602631479984	0.030007795482556568
320	0.03064736177370359	0.030648694241909413
321	0.031150903191942185	0.03112936831142405
322	0.03142556214734506	0.03142692844969502
323	0.031540003378762914	0.03151848541531685
324	0.03140267390106148	0.03142692844969502
325	0.031173791438225757	0.03112936831142405
326	0.030578697034852872	0.030648694241909413
327	0.030052267370330704	0.029984906241151108
328	0.029068072780137084	0.029160893550554588
329	0.02817543117507776	0.028176656170119857
330	0.027008130614615558	0.027055083341252374
331	0.025795053561586217	0.025819064305357596
332	0.024490423523422584	0.024491488303840982
333	0.023094240500124662	0.023072355336702533
334	0.021627103913347663	0.02160515496261262
335	0.02013936790491545	0.020108198574695608
336	0.018601277754659376	0.018597508641935323
337	0.01712498586936895	0.017093685481596677
338	0.015612072790024807	0.015615040486804035
339	0.014174690923416455	0.014173018278260126
340	0.012789952023260318	0.01278593024908932
341	0.011450989615671326	0.01146064317171325
342	0.010201291368588267	0.010208601666834651
343	0.009050012580524569	0.009038961431015704
344	0.007930777337257874	0.007951722464256409
345	0.0069511603963209705	0.006951462614837856
