w	Wagner_exp	Wagner_pred
369	7.148458470673092e-07	9.07631299561191e-07
370	0.0	6.209376732402743e-07
371	0.0	4.218835189265896e-07
372	0.0	2.846702041677917e-07
373	0.0	1.9070753793204348e-07
374	0.0	1.269697401086019e-07
375	0.0	8.390878741240772e-08
376	0.0	5.507502173037463e-08
377	0.0	3.590309682951402e-08
378	0.0	2.3244061984024928e-08
379	0.0	1.4935384767754863e-08
380	0.0	9.536641535447878e-09
381	0.0	6.0449736824613255e-09
382	0.0	3.805298286720947e-09
383	0.0	2.3787856687677306e-09
384	0.0	1.4770981717813447e-09
385	0.0	9.102870411371677e-10
386	0.0	5.571998754168327e-10
387	0.0	3.386702828793186e-10
388	0.0	2.043656374656381e-10
389	0.0	1.2249291859481255e-10
390	0.0	7.28937830663328e-11
391	0.0	4.306095269619416e-11
392	0.0	2.526748413715006e-11
393	0.0	1.472039616398532e-11
394	0.0	8.511019431582578e-12
395	0.0	4.887829138642892e-12
396	0.0	2.785999377084163e-12
397	0.0	1.5770046405918982e-12
398	0.0	8.865118308379475e-13
399	0.0	4.946002525545239e-13
400	0.0	2.740472378638848e-13
401	0.0	1.5074495040782218e-13
402	0.0	8.22774033014506e-14
403	0.0	4.459116569949505e-14
404	0.0	2.4002845291446852e-14
405	0.0	1.282343789543051e-14
406	0.0	6.797433795654732e-15
407	0.0	3.578927933340074e-15
408	0.0	1.870400852795042e-15
409	0.0	9.701044585389295e-16
410	0.0	4.995323440527664e-16
411	0.0	2.5533058294747735e-16
412	0.0	1.294990178000083e-16
413	0.0	6.52427180498284e-17
414	0.0	3.261503583068568e-17
415	0.0	1.6174730836544008e-17
416	0.0	7.967224727930199e-18
417	0.0	3.893823005920172e-18
418	0.0	1.88937043548059e-18
419	0.0	9.094017939451756e-19
420	0.0	4.345299073836216e-19
421	0.0	2.060096679650523e-19
422	0.0	9.695986030006481e-20
423	0.0	4.5286717064631815e-20
424	0.0	2.0993004838673222e-20
425	0.0	9.652988309252572e-21
426	0.0	4.40600173842997e-21
427	0.0	1.9956000985196594e-21
428	0.0	8.966289416035732e-22
429	0.0	3.998788030113538e-22
430	0.0	1.7692297451387855e-22
431	0.0	7.767411790309093e-23
432	0.0	3.3829089122560764e-23
433	0.0	1.4619225056329064e-23
434	0.0	6.270079396996496e-24
435	0.0	2.667123325588062e-24
436	0.0	1.1259079643295645e-24
437	0.0	4.714573616781553e-25
438	0.0	1.9576609331485632e-25
439	0.0	8.069660474432158e-26
440	0.0	3.298178109593962e-26
441	0.0	1.3379878987539922e-26
442	0.0	5.379773649621439e-27
443	0.0	2.146092121158341e-27
444	0.0	8.494579126588436e-28
445	0.0	3.333587997273651e-28
446	0.0	1.2975194556914896e-28
447	0.0	5.0117637455218064e-29
448	0.0	1.919721767777467e-29
449	0.0	7.288113667787577e-30
450	0.0	2.7455309340216606e-30
451	0.0	1.0252427122115893e-30
452	0.0	3.796445814801025e-31
453	0.0	1.3948966468106363e-31
454	0.0	5.078789604344076e-32
455	0.0	1.8337263262696488e-32
456	0.0	6.564740248045343e-33
457	0.0	2.330729392631009e-33
458	0.0	8.202447553230995e-34
459	0.0	2.8618777078263555e-34
460	0.0	9.898328245318995e-35
461	0.0	3.3942906618674053e-35
462	0.0	1.1538564828196054e-35
463	0.0	3.887499811691656e-36
464	0.0	1.2987840945371927e-36
465	0.0	4.298507436545198e-37
466	0.0	1.4100723129590749e-37
467	0.0	4.586845093365529e-38
468	0.0	1.478362810627048e-38
469	0.0	4.722161449855772e-39
470	0.0	1.4948031156211898e-39
471	0.0	4.688016201021785e-40
472	0.0	1.4568639502500935e-40
473	0.0	4.486938624554975e-41
474	0.0	1.369603869896572e-41
